Date,NVDA
5/4/2023,27.53762245
5/5/2023,28.65463066
5/8/2023,29.12521362
5/9/2023,28.54572678
5/10/2023,28.8594532
5/11/2023,28.55272102
5/12/2023,28.31493568
5/15/2023,28.92739296
5/16/2023,29.18715858
5/17/2023,30.15130615
5/18/2023,31.64998436
5/19/2023,31.2363472
5/22/2023,31.14842606
5/23/2023,30.66085815
5/24/2023,30.51099205
5/25/2023,37.94640732
5/26/2023,38.91154861
5/30/2023,40.07551956
5/31/2023,37.80053711
6/1/2023,39.7348175
6/2/2023,39.29221344
6/5/2023,39.13635254
6/6/2023,38.61981201
6/7/2023,37.4457283
6/8/2023,38.47991943
6/9/2023,38.73971939
6/12/2023,39.45115662
6/13/2023,40.9899559
6/14/2023,42.9634285
6/15/2023,42.61968994
6/16/2023,42.65864944
6/20/2023,43.77378082
6/21/2023,43.01137924
6/22/2023,42.99139404
6/23/2023,42.17603302
6/26/2023,40.60026932
6/27/2023,41.84329224
6/28/2023,41.08488846
6/29/2023,40.79011154
6/30/2023,42.26895905
7/3/2023,42.37986755
7/5/2023,42.28395081
7/6/2023,42.07012177
7/7/2023,42.46980286
7/10/2023,42.14705276
7/11/2023,42.37187195
7/12/2023,43.8677063
7/13/2023,45.94108963
7/14/2023,45.43348694
7/17/2023,46.42470932
7/18/2023,47.45689774
7/19/2023,47.04022598
7/20/2023,45.48444366
7/21/2023,44.27438736
7/24/2023,44.57715607
7/25/2023,45.64332199
7/26/2023,45.41649628
7/27/2023,45.86415482
7/28/2023,46.71348572
7/31/2023,46.69250107
8/1/2023,46.47067642
8/2/2023,44.23442078
8/3/2023,44.48023224
8/4/2023,44.64509964
8/7/2023,45.38152695
8/8/2023,44.62911606
8/9/2023,42.52075958
8/10/2023,42.35489273
8/11/2023,40.82309341
8/14/2023,43.71881866
8/15/2023,43.9056778
8/16/2023,43.452034
8/17/2023,43.31014252
8/18/2023,43.26517868
8/21/2023,46.93031693
8/22/2023,45.63232803
8/23/2023,47.07920074
8/24/2023,47.12615967
8/25/2023,45.98206329
8/28/2023,46.79841995
8/29/2023,48.74589539
8/30/2023,49.2255249
8/31/2023,49.31644821
9/1/2023,48.4711113
9/5/2023,48.51007843
9/6/2023,47.02811432
9/7/2023,46.20869064
9/8/2023,45.5401535
9/11/2023,45.14643478
9/12/2023,44.83864594
9/13/2023,45.45322037
9/14/2023,45.54914856
9/15/2023,43.86932373
9/18/2023,43.93527603
9/19/2023,43.48958969
9/20/2023,42.2094841
9/21/2023,40.98833466
9/22/2023,41.5809288
9/25/2023,42.19249725
9/26/2023,41.88171768
9/27/2023,42.43832016
9/28/2023,43.05888748
9/29/2023,43.46860123
10/2/2023,44.7507019
10/3/2023,43.48659134
10/4/2023,44.01022339
10/5/2023,44.65677643
10/6/2023,45.73003006
10/9/2023,45.24136734
10/10/2023,45.76599884
10/11/2023,46.77329636
10/12/2023,46.91219711
10/13/2023,45.42923355
10/16/2023,46.06279373
10/17/2023,43.90729904
10/18/2023,42.16650772
10/19/2023,42.07159042
10/20/2023,41.35808182
10/23/2023,42.94496918
10/24/2023,43.63248825
10/25/2023,41.74980927
10/26/2023,40.29782104
10/27/2023,40.47169876
10/30/2023,41.1322403
10/31/2023,40.75150681
11/1/2023,42.29542923
11/2/2023,43.47559738
11/3/2023,44.97354889
11/6/2023,45.71902847
11/7/2023,45.92288589
11/8/2023,46.54145432
11/9/2023,46.91719437
11/10/2023,48.30122757
11/13/2023,48.58602142
11/14/2023,49.62129593
11/15/2023,48.85383606
11/16/2023,49.44542694
11/17/2023,49.26355362
11/20/2023,50.3737793
11/21/2023,49.90909958
11/22/2023,48.68195343
11/24/2023,47.74261475
11/27/2023,48.20829391
11/28/2023,47.7875824
11/29/2023,48.10635757
11/30/2023,46.73731995
12/1/2023,46.73232651
12/4/2023,45.47819901
12/5/2023,46.53755188
12/6/2023,45.47520065
12/7/2023,46.5675354
12/8/2023,47.4769783
12/11/2023,46.59851456
12/12/2023,47.62788773
12/13/2023,48.05862427
12/14/2023,48.32045364
12/15/2023,48.86013031
12/18/2023,50.04641342
12/19/2023,49.57368851
12/20/2023,48.08161163
12/21/2023,48.96007156
12/22/2023,48.80016708
12/26/2023,49.24889374
12/27/2023,49.38681793
12/28/2023,49.491745
12/29/2023,49.491745
1/2/2024,48.13857269
1/3/2024,47.53993607
1/4/2024,47.96868134
1/5/2024,49.06700897
1/8/2024,52.22107315
1/9/2024,53.10753632
1/10/2024,54.31679916
1/11/2024,54.78850174
1/12/2024,54.67657471
1/16/2024,56.34755707
1/17/2024,56.01876068
1/18/2024,57.07211304
1/19/2024,59.45466232
1/22/2024,59.61755371
1/23/2024,59.83642197
1/24/2024,61.3245163
1/25/2024,61.57936096
1/26/2024,60.99370956
1/29/2024,62.42683792
1/30/2024,62.73565674
1/31/2024,61.48941422
2/1/2024,62.98849106
2/2/2024,66.11959076
2/5/2024,69.28964233
2/6/2024,68.18132782
2/7/2024,70.05618286
2/8/2024,69.59845734
2/9/2024,72.08895111
2/12/2024,72.20387268
2/13/2024,72.08394623
2/14/2024,73.85486603
2/15/2024,72.61361694
2/16/2024,72.56863403
2/20/2024,69.40957642
2/21/2024,67.4307785
2/22/2024,78.49002075
2/23/2024,78.76885223
2/26/2024,79.04368591
2/27/2024,78.65290833
2/28/2024,77.61555481
2/29/2024,79.06367493
3/1/2024,82.22872925
3/4/2024,85.18492126
3/5/2024,85.91551971
3/6/2024,88.64996338
3/7/2024,92.61673737
3/8/2024,87.47863007
3/11/2024,85.72563171
3/12/2024,91.86116028
3/13/2024,90.83673096
3/14/2024,87.89440155
3/15/2024,87.78746033
3/18/2024,88.40511322
3/19/2024,89.34757996
3/20/2024,90.32102966
3/21/2024,91.38342285
3/22/2024,94.23581696
3/25/2024,94.94841766
3/26/2024,92.50879669
3/27/2024,90.19909668
3/28/2024,90.30504608
4/1/2024,90.31203461
4/2/2024,89.40155029
4/3/2024,88.91382599
4/4/2024,85.85654449
4/5/2024,87.95836639
4/8/2024,87.08385468
4/9/2024,85.30584717
4/10/2024,86.98991394
4/11/2024,90.564888
4/12/2024,88.13626862
4/15/2024,85.95248413
4/16/2024,87.36569214
4/17/2024,83.98760223
4/18/2024,84.62323761
4/19/2024,76.1570282
4/22/2024,79.47314453
4/23/2024,82.37651062
4/24/2024,79.63207245
4/25/2024,82.58539581
4/26/2024,87.68553162
4/29/2024,87.7075119
4/30/2024,86.35327148
5/1/2024,82.99414825
5/2/2024,85.76859283
5/3/2024,88.73892212
5/6/2024,92.08803558
5/7/2024,90.50292969
5/8/2024,90.36100769
5/9/2024,88.69694519
5/10/2024,89.82731628
5/13/2024,90.3480072
5/14/2024,91.30447388
5/15/2024,94.57663727
5/16/2024,94.30579376
5/17/2024,92.42684174
5/20/2024,94.72654724
5/21/2024,95.3321991
5/22/2024,94.89644623
5/23/2024,103.7404709
5/24/2024,106.4089508
5/28/2024,113.8367615
5/29/2024,114.7602234
5/30/2024,110.4376755
5/31/2024,109.5711594
6/3/2024,114.9351349
6/4/2024,116.3713226
6/5/2024,122.3709488
6/6/2024,120.9297638
6/7/2024,120.8198242
6/10/2024,121.7212982
6/11/2024,120.8517303
6/12/2024,125.1396637
6/13/2024,129.5475311
